NUTS_ID,sector,year,d_employment,d_employment_l1,d_emissions,d_emissions_l1,resid_core,resid_core_l1
LV008,B.E,2014,1,0.5,-3990,-4516,1.32202214233383,1.11971840230706
LV008,B.E,2015,-1.4,1,-5380,-3990,-1.15920574638019,1.32202214233383
LV008,B.E,2016,1.8,-1.4,4525,-5380,1.79048203092566,-1.15920574638019
LV008,B.E,2017,0.9,1.8,3110,4525,0.861128394919949,1.79048203092566
LV008,B.E,2018,0.699999999999999,0.9,-1928,3110,0.659976733498887,0.861128394919949
LV008,B.E,2019,-1.6,0.699999999999999,-5448,-1928,-1.61468798848676,0.659976733498887
LV008,B.E,2020,-0.4,-1.6,2669,-5448,0.563623293247825,-1.61468798848676
LV008,B.E,2021,-1.3,-0.4,1433,2669,-0.905877766205817,0.563623293247825
LV008,B.E,2022,-0.5,-1.3,-8821,1433,-0.499842617167817,-0.905877766205817
LV008,B.E,2023,-0.0999999999999996,-0.5,-1803,-8821,0.198960085455353,-0.499842617167817
LV009,B.E,2006,2,,-7002,,2.41120191478519,
LV009,B.E,2007,-3.1,2,-19954,-7002,-2.89533859761616,2.41120191478519
LV009,B.E,2008,-1.5,-3.1,-11985,-19954,-1.26938691447128,-2.89533859761616
LV009,B.E,2009,-4.6,-1.5,-29194,-11985,-2.51560488800914,-1.26938691447128
LV009,B.E,2010,2.1,-4.6,4948,-29194,3.44074895903907,-2.51560488800914
LV009,B.E,2011,0.9,2.1,-9140,4948,1.15669181077469,3.44074895903907
LV009,B.E,2012,1.7,0.9,-1037,-9140,2.18401111385385,1.15669181077469
LV009,B.E,2013,-0.100000000000001,1.7,-6748,-1037,0.519901425788429,2.18401111385385
LV009,B.E,2014,-0.0999999999999979,-0.100000000000001,-15891,-6748,0.222998021568495,0.519901425788429
LV009,B.E,2015,0.0999999999999979,-0.0999999999999979,-3125,-15891,0.340609344143787,0.222998021568495
LV009,B.E,2016,-1.6,0.0999999999999979,6659,-3125,-1.60969295657848,0.340609344143787
LV009,B.E,2017,-0.5,-1.6,-4531,6659,-0.538245044855525,-1.60969295657848
LV009,B.E,2018,-1.1,-0.5,-1384,-4531,-1.14006787437471,-0.538245044855525
LV009,B.E,2019,2,-1.1,-4770,-1384,1.98525641567078,-1.14006787437471
LV009,B.E,2020,-0.299999999999999,2,705,-4770,0.663784340791468,1.98525641567078
LV009,B.E,2021,1.4,-0.299999999999999,-3008,705,1.79448639476227,0.663784340791468
LV009,B.E,2022,0,1.4,-4006,-3008,-0.000237446048996997,1.79448639476227
LV009,B.E,2023,-0.100000000000001,0,-3608,-4006,0.199108095035939,-0.000237446048996997
NL111,B.E,2006,-1,,-3916,,-0.997226471724467,
NL111,B.E,2007,-0.200000000000001,-1,-22607,-3916,-0.403296387459338,-0.997226471724467
NL111,B.E,2008,-0.399999999999999,-0.200000000000001,-111578,-22607,-0.569395646839576,-0.403296387459338
NL111,B.E,2009,0,-0.399999999999999,-25580,-111578,1.67592342960389,-0.569395646839576
NL111,B.E,2010,-0.600000000000001,0,18674,-25580,0.33144809500174,1.67592342960389
NL111,B.E,2011,0.800000000000001,-0.600000000000001,-23037,18674,0.649656026318837,0.33144809500174
NL111,B.E,2012,-0.199999999999999,0.800000000000001,-13217,-23037,-0.123165464203033,0.649656026318837
NL111,B.E,2013,0,-0.199999999999999,3149,-13217,0.210914538861388,-0.123165464203033
NL111,B.E,2014,-0.100000000000001,0,3670,3149,-0.18678131111301,0.210914538861388
NL111,B.E,2015,0,-0.100000000000001,2819,3670,-0.168053397701778,-0.18678131111301
NL111,B.E,2016,0.100000000000001,0,7872,2819,-0.317967757523347,-0.168053397701778
NL111,B.E,2017,-0.100000000000001,0.100000000000001,-4703,7872,-0.546406276122215,-0.317967757523347
NL111,B.E,2018,-0.399999999999999,-0.100000000000001,-9813,-4703,-0.847552033560004,-0.546406276122215
NL111,B.E,2019,0,-0.399999999999999,-28058,-9813,-0.421009308967173,-0.847552033560004
NL111,B.E,2020,-0.100000000000001,0,-445,-28058,0.455703305297527,-0.421009308967173
NL111,B.E,2021,-0.0999999999999996,-0.100000000000001,11282,-445,-0.114860717144013,0.455703305297527
NL111,B.E,2022,-1,-0.0999999999999996,-17266,11282,-1.40732546435683,-0.114860717144013
NL111,B.E,2023,0.100000000000001,-1,-25212,-17266,-0.00729571721071829,-1.40732546435683
NL112,B.E,2006,-0.5,,-538776,,-0.453368076005294,
NL112,B.E,2007,0,-0.5,143528,-538776,-0.216919418855973,-0.453368076005294
NL112,B.E,2008,0.3,0,-169040,143528,0.135316223808472,-0.216919418855973
NL112,B.E,2009,-0.1,0.3,-176922,-169040,1.58833343843785,0.135316223808472
NL112,B.E,2010,-0.9,-0.1,-62069,-176922,0.0380690022401835,1.58833343843785
NL112,B.E,2011,0.2,-0.9,-78876,-62069,0.0542348113440065,0.0380690022401835
NL112,B.E,2012,0.0999999999999996,0.2,-788554,-78876,0.240411989638562,0.0542348113440065
