NUTS_ID,avg_d_emissions,avg_d_employment,n_obs
DEB1B,-1960.72222222222,0.0500000000000001,18
DEB21,-393.222222222222,-0.0055555555555555,18
DEB23,1966,0.111111111111111,18
DEB24,-2101.16666666667,0.0444444444444445,18
DEB31,-19.2777777777778,-0.0722222222222223,18
DEB32,-1910.83333333333,-0.122222222222222,18
DEB34,957.444444444445,0.138888888888888,18
DEB35,-58420.2222222222,0.0277777777777777,18
DEB36,-1739.14285714286,-0.0714285714285714,7
DEB37,-764.111111111111,-0.0277777777777778,18
DEB38,-3274.16666666667,0.0277777777777778,18
DEB39,-1156.05555555556,-0.00555555555555555,18
DEB3B,-44.5555555555556,0.0555555555555555,18
DEB3C,-11093.9444444444,-0.1,18
DEB3D,10298.0555555556,-0.0166666666666666,18
DEB3E,-4659.27777777778,0.0444444444444445,18
DEB3F,-3200.83333333333,-0.0277777777777777,18
DEB3H,-1531.5,0.0166666666666667,18
DEB3J,-715.555555555556,0.0777777777777777,18
DEC01,-252299.333333333,-0.322222222222222,18
DEC02,-931.666666666667,-0.266666666666667,18
DEC03,-279.444444444444,-0.116666666666667,18
DEC04,-214476.111111111,-0.344444444444444,18
DEC05,-160010.833333333,-0.188888888888889,18
DEC06,3592.72222222222,-0.0222222222222223,18
DED21,-6569.66666666667,0.2,18
DED2C,-14572,0.327777777777777,18
DED2D,-5221.83333333333,0.283333333333333,18
DED2E,2119.94444444444,0.0777777777777778,18
DED2F,-5451.61111111111,0.238888888888889,18
DED41,-16758.0555555556,0.00555555555555549,18
DED42,-4005.22222222222,0.0833333333333334,18
DED43,-8648.11111111111,-0.0111111111111111,18
DED44,-3175.66666666667,-0.0666666666666668,18
DED45,-4800.16666666667,0.327777777777778,18
DED51,-5904.83333333333,0.494444444444444,18
DED52,-219278.833333333,0.111111111111111,18
DED53,-9501.44444444445,0.0722222222222222,18
DEE01,-7729.55555555556,0.0333333333333333,18
DEE02,-17039.5555555556,-2.08166817117217e-17,18
DEE03,-3568.11111111111,-0.0722222222222223,18
DEE04,-1789.61111111111,-0.05,18
DEE05,-14624.6111111111,0.15,18
DEE06,-4962.13333333333,0.0266666666666667,15
DEE07,2028.61111111111,0.144444444444444,18
DEE08,-118242.444444444,0.0777777777777778,18
DEE09,-19077.3888888889,0.1,18
DEE0A,-17639.2777777778,0.0833333333333333,18
DEE0B,-173007.277777778,0.111111111111111,18
DEE0C,-57452.6111111111,0.133333333333333,18
DEE0D,798.555555555556,0.0055555555555555,18
DEE0E,-5506.72222222222,0.0611111111111112,18
DEF01,-10905.7222222222,-0.0611111111111112,18
DEF02,-2506.27777777778,0.122222222222222,18
DEF03,-1842.73333333333,0.32,15
DEF04,-7841.38888888889,-0.0277777777777778,18
DEF05,-9672.27777777778,0.0333333333333333,18
DEF06,33.875,0.0499999999999998,8
DEF08,139.944444444444,0.0833333333333332,18
DEF09,-32361.6666666667,-0.0611111111111113,18
DEF0A,-100648.222222222,0.0222222222222223,18
DEF0B,99.1111111111111,0.122222222222222,18
DEF0C,2.11111111111111,0.166666666666667,18
DEF0D,-2114.27777777778,0.0944444444444444,18
DEF0E,-19351.8888888889,0.0111111111111112,18
DEF0F,762.055555555556,-0.088888888888889,18
DEG01,-2564.88888888889,-0.105555555555556,18
DEG02,-14565.7142857143,0.0285714285714287,14
DEG03,-13834.6666666667,0.183333333333333,18
DEG04,-2654.33333333333,-0.0111111111111111,18
DEG05,121.25,-0.025,4
DEG06,-3904.22222222222,0.0111111111111111,18
DEG07,-2094.55555555556,0.0888888888888889,18
DEG09,-2316.22222222222,0.0666666666666667,18
DEG0B,-1709.55555555556,-0.0777777777777776,18
DEG0C,-974.666666666667,0.0277777777777778,18
DEG0D,-1454.17647058824,-0.0294117647058823,17
DEG0E,2349.44444444444,0.116666666666667,18
DEG0F,-1886.05555555556,0.138888888888889,18
DEG0H,556.277777777778,-0.00555555555555556,18
DEG0I,-2208.11111111111,-0.0333333333333334,18
DEG0J,-975.166666666667,0.0333333333333333,18
DEG0K,326.777777777778,0.272222222222222,18
DEG0L,-8392.27777777778,0.0444444444444444,18
DEG0M,-1878.28571428571,0.0857142857142856,7
DEG0N,-2027.83333333333,-0.0777777777777778,18
DEG0P,-2690.38888888889,-0.0777777777777777,18
DK011,-388961.722222222,-0.088888888888889,18
DK012,-44042.5555555556,0.455555555555555,18
DK013,-3617.05555555556,0.244444444444444,18
DK014,-3528,-0.0166666666666667,18
DK021,-2596.33333333333,-0.0777777777777779,18
DK022,-47577.5555555556,-0.344444444444445,18
DK031,-94544.6111111111,-0.316666666666667,18
DK032,-167103.222222222,-0.611111111111111,18
DK041,-21701,-0.622222222222222,18
DK042,-118278,-0.372222222222222,18
DK050,-136492.722222222,-0.250000000000001,18
EE001,-28411.4444444444,-0.0388888888888883,18
EE004,-7635.55555555556,-0.355555555555556,18
EE008,-7790.33333333333,-0.15,18
EE009,-42690.8888888889,-0.144444444444444,18
EE00A,-469465.611111111,-0.694444444444444,18
EL302,24.0555555555556,-0.172222222222223,18
EL303,-7740.66666666667,-0.688888888888889,18
EL305,-129667.888888889,0.366666666666666,18
EL306,34654.0555555556,0.25,18
EL307,-84612.9090909091,-0.672727272727273,11
EL411,-1602.55555555556,-0.0055555555555556,18
EL412,-858.666666666667,-0.00555555555555556,18
EL413,-554.888888888889,-0.0111111111111111,18
EL421,-12667.6666666667,-9.25185853854297e-18,18
EL422,-5822.27777777778,-0.0333333333333334,18
EL431,-47522.5,0.0277777777777778,18
EL432,15318.8888888889,-0.0222222222222222,18
EL433,-660.944444444445,-0.0166666666666666,18
EL434,-1079.55555555556,0.011111111111111,18
EL511,-3582.41176470588,0.0235294117647059,17
EL512,-9501.33333333333,-0.45,6
EL513,-46099.3333333333,-0.1,18
EL514,-386.75,-0.1375,8
EL515,-8671.83333333333,-0.0611111111111111,18
EL521,-3993.23529411765,-0.141176470588235,17
EL522,-5685,-0.416666666666666,18
EL523,-998.611111111111,0.0166666666666668,18
EL524,2346,-0.105555555555556,18
EL526,-2564.76470588235,-0.129411764705882,17
EL527,-9491.5,-0.05,14
EL531,-1330061.66666667,0.0333333333333334,18
EL533,-371806.388888889,-0.0111111111111111,18
EL542,-191,0,18
EL611,-1180.72222222222,6.16790569236198e-18,18
EL612,-18986.0555555556,-0.061111111111111,18
EL613,-110529.777777778,0.1,18
EL631,-3422.375,-0.2125,8
EL632,-19927.3888888889,-0.0888888888888889,18
EL633,-890.722222222222,-0.00555555555555555,18
EL641,-12166.8888888889,0.15,18
EL642,-169850.833333333,-1.2335811384724e-17,18
EL644,-49047.8333333333,0.111111111111111,18
EL651,-422402,-0.00555555555555555,18
EL652,38676.5,0.0277777777777778,18
EL653,-1569.83333333333,-0.0277777777777778,18
ES111,-778499.666666667,-0.822222222222222,18
ES112,-18382.0555555556,-0.327777777777778,18
ES113,-7462.33333333333,-0.0333333333333333,18
ES114,-5853.16666666667,-1.28888888888889,18
ES120,-902473.722222222,-0.944444444444445,18
ES130,-63151.7222222222,-0.383333333333333,18
ES211,-9805.77777777778,-0.655555555555556,18
ES212,-116584.5,-1.04444444444445,18
ES213,-189206.888888889,-1.55,18
ES220,-45308.6666666667,-0.249999999999999,18
ES230,-42290.5555555556,-0.333333333333333,18
ES241,-8215.5,0.00555555555555574,18
ES242,-475638.611111111,-0.0777777777777778,18
ES243,-51204.3333333333,-1.09444444444444,18
ES300,-157567.611111111,-3.93888888888889,18
ES411,-378,-0.428571428571428,7
ES412,-32468.3888888889,-0.444444444444444,18
ES413,-828676.333333334,-0.366666666666667,18
ES414,-160391.666666667,-0.0944444444444444,18
ES415,8585.16666666667,-0.105555555555556,18
ES416,-2479.72222222222,0.0222222222222221,18
ES417,-3552.72222222222,0.0111111111111112,18
ES418,-10455.9444444444,-0.327777777777779,18
ES419,-4649.61111111111,-0.0833333333333334,18
ES421,-6186.16666666667,-0.177777777777778,18
ES422,-171479.833333333,-0.372222222222222,18
ES423,-7691.61111111111,0.0277777777777778,18
ES424,-4684.44444444445,-0.138888888888889,18
ES425,-150232.777777778,-0.555555555555556,18
ES431,6631.55555555556,0.0277777777777776,18
ES432,-1826.42857142857,-0.228571428571428,7
ES511,-406064.611111111,-9.54444444444443,18
